event_starttime,event_peaktime,event_endtime,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,hpc_coord,hpc_bbox,hpc_radius,hv_hpc_x_final,hv_hpc_y_final,hv_labels_formatted,frm_name,obs_observatory,obs_instrument,obs_channelid,frm_url,event_type,fl_peakflux,fl_peakfluxunit
2014-02-25 00:40:03,2014-02-25T00:48:27,2014-02-25 01:50:03,-1216.0,-728.0,-498.0,70.0,POINT(-972 -214),"POLYGON((-1216 -498,-728 -498,-728 70,-1216 70,-1216 -498))",995.2788553968179,-961.620798534996,-211.71486716716987,[],cheung,SDO,AIA,171,,FL,,
2014-02-25 00:40:03,2014-02-25T00:48:27,2014-02-25 01:50:03,-1216.0,-728.0,-498.0,70.0,POINT(-972 -214),"POLYGON((-1216 -498,-728 -498,-728 70,-1216 70,-1216 -498))",995.2788553968179,-961.620798534996,-211.71486716716987,[],cheung,SDO,AIA,211,,FL,,
2014-04-18 12:31:00,2014-04-18T13:03:00,2014-04-18 13:20:00,-90.0,90.0,-90.0,90.0,POINT(0 89.3688),"POLYGON((0.000084 -951.306,-0.000084 -951.306,0 950.484,0 950.484,0.000084 -951.306))",89.36879999999998,4.984852068569122,89.64854879620319,{'GOES Class': 'M7.3'},SWPC,GOES,GOES,XRA,http://www.swpc.noaa.gov/,FL,,
2014-04-18 12:33:12,2014-04-18T13:07:36,2014-04-18 14:04:00,384.0,614.4,-307.2,-153.6,POINT(499.2 -192),"POLYGON((384 -307.2,614.4 -307.2,614.4 -153.6,384 -153.6,384 -307.2))",534.8501098438702,504.6305289987867,-192.9149580285322,{'Peak Flux': '2360.1 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,171,http://www.cfa.harvard.edu,FL,2360.05,DN/sec/pixel
2014-04-18 12:33:13,2014-04-18T13:07:37,2014-04-18 15:29:37,384.0,614.4,-307.2,-153.6,POINT(499.2 -192),"POLYGON((384 -307.2,614.4 -307.2,614.4 -153.6,384 -153.6,384 -307.2))",534.8501098438702,504.6284699005176,-192.9148208075877,{'Peak Flux': '1854.7 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,211,http://www.cfa.harvard.edu,FL,1854.74,DN/sec/pixel
2014-04-18 12:33:31,2014-04-18T13:07:31,2014-04-18 13:56:19,460.8,614.4,-384.0,-76.8,POINT(499.2 -192),"POLYGON((460.8 -384,614.4 -384,614.4 -76.8,460.8 -76.8,460.8 -384))",534.8501098438702,504.5914055090088,-192.91235091503893,{'Peak Flux': '5375 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,193,http://www.cfa.harvard.edu,FL,5374.97,DN/sec/pixel
2014-04-18 12:34:50,2014-04-18T13:09:38,2014-04-18 13:42:02,460.8,537.6,-307.2,-153.6,POINT(499.2 -192),"POLYGON((460.8 -307.2,537.6 -307.2,537.6 -153.6,460.8 -153.6,460.8 -307.2))",534.8501098438702,504.4287200678983,-192.90151274848228,{'Peak Flux': '867.7 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,94,http://www.cfa.harvard.edu,FL,867.72,DN/sec/pixel
2014-04-18 12:49:28,2014-04-18T13:13:16,2014-04-18 13:49:28,460.8,537.6,-307.2,-153.6,POINT(499.2 -192),"POLYGON((460.8 -307.2,537.6 -307.2,537.6 -153.6,460.8 -153.6,460.8 -307.2))",534.8501098438702,502.6191193582932,-192.78126868434785,{'Peak Flux': '190.7 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,335,http://www.cfa.harvard.edu,FL,190.677,DN/sec/pixel
2014-04-18 12:49:32,2014-04-18T13:06:56,2014-04-18 13:20:08,460.8,537.6,-230.4,-153.6,POINT(499.2 -192),"POLYGON((460.8 -230.4,537.6 -230.4,537.6 -153.6,460.8 -153.6,460.8 -230.4))",534.8501098438702,502.6108687601474,-192.7807217594696,{'Peak Flux': '607.3 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,304,http://www.cfa.harvard.edu,FL,607.303,DN/sec/pixel
2014-04-18 12:34:22,2014-04-18T13:05:58,2014-04-18 14:03:46,384.0,614.4,-384.0,-76.8,POINT(499.2 -268.8),"POLYGON((384 -384,614.4 -384,614.4 -76.8,384 -76.8,384 -384))",566.9692055129625,504.3186320770368,-269.97001279154387,{'Peak Flux': '2350.6 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,2350.62,DN/sec/pixel
